# Constructed from biom file
#OTU ID	A_M05_05_F	A_M05_05_S	A_M06_05_F	A_M06_05_S	A_M10_03_S	A_M11_03_F	A_M11_05_F	A_M11_05_S	A_M12_03_F	A_M12_05_F	A_M12_05_S	A_M13_03_F	A_M14_03_S	A_M15_03_S	A_M17_03_S	A_M18_03_F	A_M19_03_F	A_M19_05_F	A_M19_05_S	A_M20_05_F	A_M20_05_S	A_M21_05_F	A_M21_05_S	A_M22_03_F	A_M23_03_S	A_M24_03_S	A_M36_03_S	A_M37_03_F	A_M38_03_F	A_M39_03_F	A_M40_03_S	A_M41_03_S	taxonomy
8f586ba42658c6af11354f6a47dc4e92	67.0	78.0	7.0	71.0	15955.0	16111.0	0.0	0.0	16735.0	0.0	8.0	28119.0	21264.0	20117.0	66.0	7.0	21.0	159.0	20.0	68.0	45.0	77.0	16.0	34.0	40.0	59.0	17635.0	6439.0	9436.0	22994.0	16796.0	15187.0	Eukaryota; TSAR; Stramenopiles; Gyrista; Mediophyceae; Thalassiosirales; Thalassiosiraceae; Porosira; Porosira_glacialis
fe4874418656daa285ee7eb201f3200f	2489.0	16442.0	3148.0	17242.0	5735.0	2168.0	605.0	7933.0	1368.0	855.0	9667.0	2936.0	4073.0	5492.0	5502.0	597.0	2404.0	676.0	2514.0	610.0	2264.0	483.0	3063.0	1530.0	5692.0	4890.0	4391.0	649.0	1358.0	4287.0	6471.0	5123.0	Eukaryota; Haptista; Haptophyta; Haptophyta_X; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis; Phaeocystis_pouchetii
9866dbaaca3ffd79affe9925c493e561	2370.0	754.0	2416.0	4038.0	4206.0	608.0	0.0	791.0	3384.0	5956.0	4899.0	4903.0	2770.0	2841.0	9072.0	8629.0	11643.0	1564.0	2189.0	141.0	226.0	943.0	2191.0	11523.0	7950.0	9736.0	4297.0	2699.0	2805.0	4300.0	4341.0	1173.0	Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Crustacea; Maxillopoda; Oithona; Oithona_similis
3f530d791abdeea02c3db94d598381e0	0.0	0.0	0.0	0.0	11707.0	3981.0	0.0	0.0	8178.0	0.0	0.0	10054.0	14649.0	10579.0	0.0	0.0	0.0	35.0	56.0	132.0	113.0	43.0	40.0	0.0	0.0	0.0	14532.0	2744.0	3823.0	6905.0	9395.0	7722.0	Eukaryota; TSAR; Stramenopiles; Gyrista; Mediophyceae; Eupodiscales; Odontellaceae; Odontella
d7bf6cd3567a59eb4ddf913b2982e859	323.0	186.0	279.0	319.0	554.0	474.0	483.0	228.0	553.0	173.0	152.0	558.0	273.0	485.0	3157.0	7590.0	3782.0	4269.0	3115.0	3901.0	3887.0	2190.0	3951.0	4686.0	3318.0	3306.0	1588.0	2871.0	1082.0	2333.0	1300.0	2533.0	Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gyrodinium; Gyrodinium_helveticum
1176c37294050ac8484324633b395b3f	280.0	151.0	329.0	291.0	3075.0	1024.0	99.0	422.0	559.0	1211.0	179.0	672.0	1042.0	3156.0	1536.0	8072.0	6021.0	505.0	579.0	94.0	47.0	295.0	226.0	6554.0	960.0	1684.0	1786.0	7870.0	907.0	6160.0	1104.0	701.0	Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae
33504daa0fb7ccfe2b97b43a2c28757f	8806.0	18032.0	13723.0	13090.0	0.0	0.0	7.0	16.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	101.0	55.0	27.0	61.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Eukaryota; TSAR; Rhizaria; Cercozoa; Filosa-Imbricatea; Filosa-Imbricatea_X; Novel-clade-2; Novel-clade-2_X; Novel-clade-2_X_sp.
9fde33753d31adfb7123a0635a5ef41a	892.0	431.0	1132.0	609.0	333.0	4380.0	3164.0	505.0	1609.0	4598.0	1432.0	1892.0	664.0	431.0	593.0	6714.0	3791.0	1527.0	328.0	1436.0	585.0	850.0	371.0	2841.0	1514.0	1455.0	408.0	4036.0	2072.0	1835.0	463.0	567.0	Eukaryota; TSAR; Alveolata; Ciliophora; Spirotrichea; Oligotrichida; Strombidiidae; Strombidiidae_X; Strombidiidae_X_sp.
0a2a8b316870a14e07dbec68f1c68a8b	3552.0	427.0	3364.0	156.0	225.0	708.0	13818.0	309.0	1558.0	5046.0	247.0	792.0	193.0	25.0	0.0	1294.0	323.0	133.0	0.0	9874.0	1083.0	163.0	0.0	1153.0	0.0	513.0	78.0	245.0	2434.0	1718.0	36.0	377.0	Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Crustacea; Maxillopoda; Metridia; Metridia_sp.
c5b9e4583d5495cc01f30ea23a35e2ca	29.0	22.0	34.0	0.0	100.0	82.0	105.0	45.0	0.0	0.0	0.0	184.0	77.0	140.0	0.0	0.0	0.0	5210.0	9582.0	3967.0	1839.0	4469.0	12998.0	0.0	0.0	0.0	53.0	0.0	0.0	70.0	89.0	72.0	Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Gymnodinium; Gymnodinium_sp.
